label,text
spam,"WINNER! Claim your free vacation now. Text WIN to 80085."
spam,"Urgent! Your account has been selected for a $500 reward. Reply YES now."
spam,"Congratulations, you have won a brand new phone. Call immediately to claim."
spam,"Limited offer! Buy 1 get 1 free on all items. Visit our promo site today."
spam,"You have been chosen for a cash prize. Click the link to verify."
spam,"Earn money fast from home with no experience required. Sign up today."
spam,"Act now! Lowest insurance rate guaranteed. Call for a free quote."
spam,"FREE entry into our weekly raffle. Send JOIN to participate."
spam,"Your loan has been approved instantly. Submit your details to receive funds."
spam,"Exclusive deal! Get cheap meds without prescription. Order now."
spam,"You are pre-approved for a premium credit card. Apply in minutes."
spam,"Final notice: unpaid balance detected. Pay today to avoid penalties."
spam,"Get rich quick with this secret investment strategy. Limited slots only."
spam,"Hot singles in your area waiting to chat. Open the app now."
spam,"Claim your shopping voucher before midnight. Don't miss out."
spam,"This is your last chance to receive a 90 percent discount."
spam,"Winner! You have been selected for a luxury hotel stay."
spam,"Free ringtone download available now. Tap the link to install."
spam,"Immediate action needed. Verify your banking details to prevent suspension."
spam,"Congratulations! You won tickets to the concert. Text CLAIM now."
spam,"Cash bonus available today only. Confirm your mobile number to receive."
spam,"Your package is on hold. Pay a small fee to release delivery."
spam,"Special promotion: double your income with this easy method."
spam,"Reminder: you have an unclaimed tax refund waiting for you."
spam,"Exclusive casino bonus inside. Deposit now and play."
spam,"Get instant approval for debt relief. Call our team now."
spam,"This message confirms you are selected for a free gift card."
spam,"Your profile was matched. Reply to meet exciting new people."
spam,"Amazing offer on crypto tips. Subscribe before price goes up."
spam,"Security alert: reset your password using this urgent link."
spam,"Security alert. Verify now to receive a shopping coupon. claim immediately."
spam,"Congratulations, you have won an exclusive bonus. claim immediately immediately."
spam,"Urgent: your account is eligible for an exclusive bonus. submit your details today."
spam,"Security alert. Verify now to receive a cash prize. reply YES."
spam,"Winner! Claim your a shopping coupon now by claim immediately."
spam,"Limited offer. Get a free smartphone if you call now before midnight."
spam,"Limited offer. Get a travel voucher if you reply YES before midnight."
spam,"Limited offer. Get a shopping coupon if you claim immediately before midnight."
spam,"Winner! Claim your a free gift card now by confirm your number."
spam,"Winner! Claim your a free smartphone now by claim immediately."
spam,"Winner! Claim your a cash prize now by submit your details."
spam,"Winner! Claim your a free gift card now by reply YES."
spam,"Exclusive deal: an exclusive bonus available now. submit your details."
spam,"Exclusive deal: a free gift card available now. claim immediately."
spam,"Limited offer. Get a cash prize if you call now before midnight."
spam,"Urgent: your account is eligible for an exclusive bonus. reply YES today."
spam,"Exclusive deal: a free smartphone available now. reply YES."
spam,"Urgent: your account is eligible for a cash prize. claim immediately today."
spam,"Limited offer. Get a free smartphone if you call now before midnight."
spam,"Security alert. Verify now to receive a cash prize. call now."
spam,"Urgent: your account is eligible for a cash prize. submit your details today."
spam,"Urgent: your account is eligible for a travel voucher. click the link today."
spam,"Winner! Claim your an exclusive bonus now by call now."
spam,"Security alert. Verify now to receive a shopping coupon. confirm your number."
spam,"Winner! Claim your a cash prize now by click the link."
spam,"Exclusive deal: a free smartphone available now. submit your details."
spam,"Congratulations, you have won a travel voucher. submit your details immediately."
spam,"Congratulations, you have won a travel voucher. claim immediately immediately."
spam,"Urgent: your account is eligible for a travel voucher. reply YES today."
spam,"Winner! Claim your an exclusive bonus now by submit your details."
spam,"Limited offer. Get a shopping coupon if you confirm your number before midnight."
spam,"Congratulations, you have won a travel voucher. submit your details immediately."
spam,"Congratulations, you have won a free gift card. confirm your number immediately."
spam,"Winner! Claim your a free gift card now by reply YES."
spam,"Exclusive deal: a cash prize available now. click the link."
spam,"Security alert. Verify now to receive a shopping coupon. confirm your number."
spam,"Limited offer. Get a shopping coupon if you confirm your number before midnight."
spam,"Winner! Claim your an exclusive bonus now by call now."
spam,"Urgent: your account is eligible for a free gift card. submit your details today."
spam,"Urgent: your account is eligible for a travel voucher. call now today."
spam,"Congratulations, you have won an exclusive bonus. click the link immediately."
spam,"Security alert. Verify now to receive a cash prize. claim immediately."
spam,"Exclusive deal: a cash prize available now. reply YES."
spam,"Winner! Claim your an exclusive bonus now by claim immediately."
spam,"Exclusive deal: an exclusive bonus available now. confirm your number."
spam,"Winner! Claim your a free smartphone now by submit your details."
spam,"Urgent: your account is eligible for a cash prize. call now today."
spam,"Urgent: your account is eligible for a free smartphone. confirm your number today."
spam,"Urgent: your account is eligible for an exclusive bonus. reply YES today."
spam,"Exclusive deal: a free smartphone available now. confirm your number."
spam,"Urgent: your account is eligible for an exclusive bonus. reply YES today."
spam,"Exclusive deal: a travel voucher available now. submit your details."
spam,"Winner! Claim your a shopping coupon now by submit your details."
spam,"Limited offer. Get a cash prize if you reply YES before midnight."
spam,"Exclusive deal: a shopping coupon available now. reply YES."
spam,"Exclusive deal: a shopping coupon available now. confirm your number."
spam,"Exclusive deal: a travel voucher available now. confirm your number."
spam,"Winner! Claim your an exclusive bonus now by confirm your number."
spam,"Limited offer. Get a cash prize if you reply YES before midnight."
spam,"Congratulations, you have won a free smartphone. submit your details immediately."
spam,"Urgent: your account is eligible for a shopping coupon. confirm your number today."
spam,"Winner! Claim your a travel voucher now by confirm your number."
spam,"Limited offer. Get a travel voucher if you confirm your number before midnight."
spam,"Security alert. Verify now to receive a free smartphone. click the link."
spam,"Congratulations, you have won a free smartphone. claim immediately immediately."
spam,"Security alert. Verify now to receive a free gift card. submit your details."
spam,"Winner! Claim your a shopping coupon now by submit your details."
spam,"Urgent: your account is eligible for a shopping coupon. call now today."
spam,"Urgent: your account is eligible for a cash prize. claim immediately today."
spam,"Limited offer. Get a shopping coupon if you submit your details before midnight."
spam,"Security alert. Verify now to receive a shopping coupon. reply YES."
spam,"Security alert. Verify now to receive a shopping coupon. call now."
spam,"Security alert. Verify now to receive a shopping coupon. reply YES."
spam,"Congratulations, you have won a free gift card. submit your details immediately."
spam,"Security alert. Verify now to receive an exclusive bonus. confirm your number."
spam,"Security alert. Verify now to receive a free smartphone. click the link."
spam,"Winner! Claim your a free smartphone now by reply YES."
spam,"Congratulations, you have won a shopping coupon. reply YES immediately."
spam,"Congratulations, you have won an exclusive bonus. confirm your number immediately."
spam,"Security alert. Verify now to receive a cash prize. call now."
spam,"Exclusive deal: a free gift card available now. submit your details."
spam,"Urgent: your account is eligible for a travel voucher. reply YES today."
spam,"Winner! Claim your a free gift card now by click the link."
spam,"Winner! Claim your a free smartphone now by claim immediately."
spam,"Winner! Claim your a free gift card now by submit your details."
spam,"Limited offer. Get a free smartphone if you submit your details before midnight."
spam,"Winner! Claim your an exclusive bonus now by reply YES."
spam,"Urgent: your account is eligible for an exclusive bonus. click the link today."
spam,"Winner! Claim your a free smartphone now by reply YES."
spam,"Congratulations, you have won a travel voucher. claim immediately immediately."
spam,"Limited offer. Get a free gift card if you confirm your number before midnight."
spam,"Congratulations, you have won a free smartphone. claim immediately immediately."
spam,"Congratulations, you have won a free smartphone. call now immediately."
spam,"Congratulations, you have won a cash prize. claim immediately immediately."
spam,"Limited offer. Get a free smartphone if you call now before midnight."
spam,"Winner! Claim your a shopping coupon now by click the link."
spam,"Winner! Claim your a free gift card now by call now."
spam,"Winner! Claim your an exclusive bonus now by submit your details."
spam,"Exclusive deal: a shopping coupon available now. call now."
spam,"Limited offer. Get an exclusive bonus if you click the link before midnight."
spam,"Exclusive deal: a shopping coupon available now. reply YES."
spam,"Urgent: your account is eligible for an exclusive bonus. call now today."
